delta,theta,alpha,beta,gamma,deltaRIR,thetaRIR,alphaRIR,betaRIR,gammaRIR,PFD,HFD,hjorth_mobility,hjorth_complexity,spec_entropy,svd_entropy,fisher_info,approx_entropy,Hurst
5108.573385091931,2468.987702246912,3599.5596419330022,11415.322944044648,22744.707993854463,0.11267962801445897,0.05445837710256351,0.07939536361609316,0.2517873868179193,0.5016792444489651,0.6416044091016299,0.055772296243324575,0.006144940128769977,57.15266810863796,0.5920609269728669,2.0288823398586655,2.0288823398586655,0.21202599163600944,0.9551806341605861
3223.239782364082,3719.254303929807,3530.3384521817825,10180.069576471076,17839.330273369527,0.08373740836456259,0.09662350227987113,0.09171560684158611,0.26447075019637156,0.46345273231760864,0.6452535881295922,0.046315304203578406,0.0053133975284829285,61.94897268716176,0.6240341458936538,1.962875809668156,1.962875809668156,0.22366695207608495,0.77422034001159
4296.464517277976,2554.7951771749395,1651.1210521845353,8390.78508994396,18931.050294600886,0.11993185005207203,0.07131475446161072,0.046089523526164695,0.23422103806035297,0.5284428338997995,0.6436572808543757,0.056423953493524935,0.006213135166154186,61.10809517956259,0.574403945559125,2.0149532813826716,2.0149532813826716,0.21912447011117447,0.8855613216198542
2714.1787195158818,2007.7362942543812,3756.8851003265736,8112.988759205253,21196.19063575763,0.07182651083170917,0.05313161275989958,0.09942011055197739,0.21469760660953446,0.5609241592468794,0.6452535881295922,0.054643465081160504,0.006811008253325323,55.66509411309218,0.5622550965347456,2.066538968174463,2.066538968174463,0.23039433768393003,0.723820872026145
8874.307974260822,2649.519036429699,3393.1020323121866,12190.361019095186,26245.856353083283,0.1663314831557097,0.04966003346478927,0.06359703710645093,0.22848438823518988,0.49192705803786013,0.6401179497704479,0.0606550518709534,0.006048222024993468,61.05211556702194,0.5964804622683425,2.017569208123714,2.017569208123714,0.19145163152189718,0.9113800693468952
2049.1678861783494,2648.157236767951,1568.3261494822934,7579.753846213116,25128.442598270478,0.05257802362914093,0.06794703094246499,0.0402404751225458,0.19448307750543145,0.6447513928004167,0.6386743718665095,0.05887514092787782,0.008276825140365915,44.92467341106238,0.48794311973823584,2.1131285663972688,2.1131285663972688,0.2161664347431274,0.5946893316478041
4111.476047354639,1569.399761106152,3809.908269496614,11901.504615024587,19517.314372598157,0.10050148960780031,0.03836262499517107,0.09312992510313874,0.2909220262036245,0.47708393409026534,0.6497725315895624,0.04787439948170212,0.00614213426807051,64.65054585565458,0.5817359535932333,2.020874342805013,2.020874342805013,0.22163465121473638,0.7054847209552889
8022.063049225102,3026.3384470580245,3694.9005810764784,8399.761656931943,3278.5819122916873,0.30361708564744494,0.11454011939825487,0.13984369597940965,0.3179121304284911,0.12408696854639951,0.7011387613747926,0.00995007746535689,0.002511160303800648,238.81249875509684,0.7763720559205555,1.3501920439736386,1.3501920439736386,0.11496023632136362,1.0376208331170487
3568.659258531333,1273.801891747167,3258.506621395267,9713.397388878871,28780.692866436802,0.07658879309613144,0.02733770373264344,0.06993245119488485,0.20846411186466474,0.6176769401116755,0.6386743718665095,0.06012860126367257,0.008117338577331063,46.0507929251364,0.502092729370811,2.114396002874388,2.114396002874388,0.2024140111656067,0.60274039444558
6409.045610492841,2326.2183219309536,2727.7733659744463,9178.67130132947,16283.743385750264,0.1735671539785996,0.06299769391707942,0.07387244351260003,0.24857302504893522,0.44098968354278584,0.6469017022093453,0.04425633232921062,0.005324197017606275,65.80909388839169,0.6316508910844604,1.9415391667913948,1.9415391667913948,0.2120490630729309,0.7437008616264807
